text,label
I am feeling hungry so I would like to find a place to eat.,FindRestaurants
I would like for it to be in San Jose.,FindRestaurants
I usually like eating the American type of food.,FindRestaurants
Can you give me the address of this restaurant.,FindRestaurants
Can you give me the phone number that I can contact them with?,FindRestaurants
Is there some other restaurant which you can suggest?,FindRestaurants
Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.,FindRestaurants
"Alright, that seems good. I would like to make a booking at this restaurant.",ReserveRestaurant
I will be eating there at 11:30 am so make it for then.,ReserveRestaurant
That suits me well. Can you tell me if they feature live music?,ReserveRestaurant
Will I be able to find liquor there? Can you give me the address of their location?,ReserveRestaurant
I appreciate it very much. That would be all.,ReserveRestaurant
"Hi i need a help, i am very hungry, I am looking for a restaurant",FindRestaurants
Some Punjabi kind of foods in milpitas,FindRestaurants
"Ok, What is the address? How pricey are they?",FindRestaurants
"Ok, Find me another restaurant?",FindRestaurants
"No, suggest me another Restaurant, Some Take-out type of food will be perfect",FindRestaurants
"Yes, it seems good for me",FindRestaurants
"Yes, I want it on the 11th",ReserveRestaurant
at afternoon 1:30,ReserveRestaurant
"No, time change to twelve in the afternoon for one people",ReserveRestaurant
Yes,ReserveRestaurant
"What is the Restaurant address, Do they have live music, I love it",ReserveRestaurant
Thank you very much for your help,ReserveRestaurant
Help me find a good restaurant.,FindRestaurants
Find me Ethiopian cuisine in Berkeley.,FindRestaurants
Do they have live music?,FindRestaurants
That's okay. I'd like to reserve a table for the 4th.,ReserveRestaurant
Reserve the table for the 2nd of this month at 17:15.,ReserveRestaurant
That's right. Do they serve alcohol? And how expensive is the place?,ReserveRestaurant
Can you check if a table is available at 17:30?,ReserveRestaurant
That's correct.,ReserveRestaurant
Thank you. That's all I need for now.,ReserveRestaurant
I'm looking for a place to eat.,FindRestaurants
Some Freshwater fish kind of food in Palo Alto would be perfect.,FindRestaurants
Could you suggest any other restaurant?,FindRestaurants
"Yes, that works for me.",FindRestaurants
"Yes, I want to make a reservation for one. Make it at half past 6 in the evening.",ReserveRestaurant
"Yes, that works for me. How pricey are they? What is their contact number?",ReserveRestaurant
Thank you very much.,ReserveRestaurant
I'd like to find a place to eat.,FindRestaurants
Lobster sounds great. Please search in San Mateo.,FindRestaurants
What's their phone number?,FindRestaurants
Any other suggestions?,FindRestaurants
Do they have live music?,FindRestaurants
Any other suggestions?,FindRestaurants
That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,ReserveRestaurant
"Yes, that would be great. Do they serve liquor or have live music?",ReserveRestaurant
Thanks so much!,ReserveRestaurant
I'm looking for a Filipino place to eat.,FindRestaurants
I want to eat in San Bruno,FindRestaurants
Any other suggestions?,FindRestaurants
How cheap is it and how much does it cost?,FindRestaurants
Please can you make the reservation,ReserveRestaurant
On the 12th at six pm,ReserveRestaurant
That's good. Do they serve liquor and what is there number?,ReserveRestaurant
Thanks a lot,ReserveRestaurant
Can you help find a place to eat?,FindRestaurants
I would like Freshwater fish.,FindRestaurants
The city is San Jose.,FindRestaurants
Yes that is fine.,FindRestaurants
Yes make it for March 10th.,ReserveRestaurant
Reserve for six in the evening.,ReserveRestaurant
Yes what is the address and do they have live music?,ReserveRestaurant
Thank you for all.,ReserveRestaurant
My friend and I are looking for a place to eat.,FindRestaurants
My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,FindRestaurants
Is there any other restaurant that you can suggest?,FindRestaurants
Can I please have the address and contact number?,FindRestaurants
Is there any other restaurant that you can suggest?,FindRestaurants
That restaurant will work can you please make a reservation for 12:30.,ReserveRestaurant
"Yes, thank you that is correct.",ReserveRestaurant
Thank you so much for setting that up.,ReserveRestaurant
Can you find me something economical to eat in Pleasanton.,FindRestaurants
I would like some Italian food.,FindRestaurants
Can you provide the address and do they have live music?,FindRestaurants
Any other recommendation?,FindRestaurants
Can you provide more options?,FindRestaurants
That sounds like a good choice for me.,FindRestaurants
"Yes, make a reservation at the restaurant.",ReserveRestaurant
I'll reach there at 1:30 pm.,ReserveRestaurant
"No, change the time to 7 pm and for one person only.",ReserveRestaurant
"No, change it on next friday.",ReserveRestaurant
Yes. Sounds good.,ReserveRestaurant
What is the address of the restaurant and do the have live music?,ReserveRestaurant
"Alright, Thank you.",ReserveRestaurant
I am looking to eat somewhere,FindRestaurants
I want some breakfast in Fairfield,FindRestaurants
Do they have live music with liquor,FindRestaurants
ok that works,FindRestaurants
"Yes, please make reservation for one people this evening 4:45",ReserveRestaurant
thats correct. What is their phone number what how expensive are they,ReserveRestaurant
yes thats fine,ReserveRestaurant
thanks,ReserveRestaurant
I'm starving! Can you help me find a restaurant that serves Breakfast in Fairfield?,FindRestaurants
Is there a band playing there?,FindRestaurants
That's okay. It will work anyway.,FindRestaurants
"Yes, I'll need to make a reservation for a table for 2.",ReserveRestaurant
Please make it for half past 5 in the evening.,ReserveRestaurant
"I'm sorry, I need to change that. I'd like it on the 9th and it will be for 3 people.",ReserveRestaurant
I'm sorry. I need to make it on Monday next week at half past 12 in the afternoon.,ReserveRestaurant
"Yes, I'm sorry for the confusion. Can you tell me their phone number please?",ReserveRestaurant
Great! Thank you so much for your help.,ReserveRestaurant
Can you help me find a place to eat at?,FindRestaurants
"Cupertino, please.",FindRestaurants
Malaysian sounds good right now.,FindRestaurants
What's the other one?,FindRestaurants
Does the restaurant have live music?,FindRestaurants
